   Nx    Ny   Ngp  nIter nRanks  nThreads      tInit      tCalc      tComm       tTot
 4096  4096     4  20480    128         4  4.791e-02  4.322e+02  6.322e+01  4.955e+02
 4096  4096     1  81920    512         0  2.211e-02  3.009e+02  2.024e+02  5.033e+02
 4096  4096     1  81920    128         4  4.379e-02  3.770e+02  2.078e+02  5.848e+02
 4096  4096     4  20480    512         0  3.081e-02  5.068e+02  9.443e+01  6.013e+02
 4096  4096     2  40960    512         0  2.492e-02  3.760e+02  1.248e+02  5.008e+02
 4096  4096     8  10240    128         4  5.337e-02  5.178e+02  3.779e+01  5.556e+02
 4096  4096     2  40960    128         4  4.519e-02  3.914e+02  1.100e+02  5.014e+02
 4096  4096     8  10240    512         0  4.199e-02  7.582e+02  8.158e+01  8.398e+02
 4096  4096     4  20480     32        16  1.579e-01  1.522e+03  1.994e+02  1.722e+03
 4096  4096     1  81920     32        16  1.544e-01  1.642e+03  7.227e+02  2.365e+03
