   Nx    Ny   Ngp  nIter nRanks  nThreads      tInit      tCalc      tComm       tTot
 4096  4096     1  81920   1024         0  1.410e-02  1.354e+02  1.035e+02  2.390e+02
 4096  4096     2  40960   1024         0  1.700e-02  2.429e+02  8.060e+01  3.235e+02
 4096  4096     1  81920    256         4  2.369e-02  1.998e+02  1.019e+02  3.018e+02
 4096  4096     4  20480   1024         0  2.275e-02  3.794e+02  7.732e+01  4.567e+02
 4096  4096     4  20480    256         4  2.785e-02  2.590e+02  3.740e+01  2.964e+02
 4096  4096     2  40960    256         4  2.499e-02  2.178e+02  5.695e+01  2.748e+02
 4096  4096     8  10240    256         4  3.330e-02  3.447e+02  2.395e+01  3.686e+02
 4096  4096     8  10240   1024         0  3.384e-02  6.347e+02  7.413e+01  7.089e+02
 4096  4096     4  20480     64        16  8.228e-02  8.430e+02  1.019e+02  9.451e+02
 4096  4096     1  81920     64        16  7.887e-02  9.970e+02  3.877e+02  1.385e+03
 4096  4096     8  10240     64        16  8.689e-02  8.961e+02  5.609e+01  9.523e+02
 4096  4096     2  40960     64        16  8.000e-02  8.732e+02  1.860e+02  1.059e+03
 4096  4096     4  20480     16        64  3.050e-01  2.948e+03  3.833e+02  3.332e+03
