   Nx    Ny   Ngp  nIter nRanks  nThreads      tInit      tCalc      tComm     tbatch
32768 32768     1   5318   1024         0  1.221e-04  1.479e-01  9.191e-02  2.561e-03
32768 32768     1   5935    256         4  2.330e-04  1.472e-01  6.942e-02  4.477e-04
32768 32768     1   1575     64        16  3.256e-03  5.440e-01  2.729e-01  4.314e-04
32768 32768     1    394     16        64  5.114e-02  2.164e+00  1.093e+00  4.302e-04
32768 32768     4   1593   1024         0  1.133e-04  1.737e-01  2.567e-02  3.012e-03
32768 32768     4   1864    256         4  1.910e-04  1.525e-01  1.980e-02  5.476e-04
32768 32768     4    516     64        16  2.509e-03  5.494e-01  7.452e-02  4.125e-04
32768 32768     4    130     16        64  3.898e-02  2.177e+00  2.983e-01  4.142e-04
32768 32768     8    706   1024         0  1.441e-04  2.075e-01  1.820e-02  2.638e-03
32768 32768     8    945    256         4  1.943e-04  1.589e-01  1.090e-02  6.925e-04
32768 32768     8    270     64        16  2.416e-03  5.583e-01  3.794e-02  4.139e-04
32768 32768     8     69     16        64  3.678e-02  2.201e+00  1.520e-01  4.172e-04
32768 32768    16    276   1024         0  2.262e-04  2.772e-01  1.187e-02  2.736e-03
32768 32768    16    445    256         4  2.194e-04  1.742e-01  6.133e-03  6.171e-04
32768 32768    16    135     64        16  2.452e-03  5.778e-01  1.954e-02  4.193e-04
32768 32768    16     35     16        64  3.639e-02  2.250e+00  7.891e-02  4.232e-04
